PSA_ID,Domain,English,Kiswahili,Dholuo,Source,Date,Metadata
PSA000016,Health,"Where bedside capacity is limited, mortality increases, regardless of how quickly cases are identified.","Pale ambapo uwezo wa kando ya kitanda ni mdogo, vifo huongezeka, bila kujali jinsi visa vinavyogunduliwa haraka.",,WHO Kenya,2026-04-30,Strengthening clinical care for high-consequence infectious diseases in East Africa
PSA000017,Health,"To address this gap, countries are strengthening the systems that underpin clinical care, from building multidisciplinary teams and improving intensive and supportive care practices, to reinforcing infection prevention and WASH standards and ensuring facilities are equipped to operate safely during outbreaks.","Ili kushughulikia pengo hili, nchi zinaimarisha mifumo inayounga mkono huduma ya kliniki, kuanzia kujenga timu za taaluma mbalimbali na kuboresha mbinu za utunzaji makini na unaounga mkono, hadi kuimarisha viwango vya kuzuia maambukizi na WASH na kuhakikisha vifaa vina vifaa vya kufanya kazi kwa usalama wakati wa milipuko.",,WHO Kenya,2026-04-30,Strengthening clinical care for high-consequence infectious diseases in East Africa
PSA000018,Health,"From 27 April to 1 May 2026, clinicians, infection prevention specialists and experts from across the East African Community convened in Nairobi for a training focused on these priorities.","Kuanzia tarehe 27 Aprili hadi 1 Mei 2026, madaktari, wataalamu wa kuzuia maambukizi na wataalamu kutoka kote katika Jumuiya ya Afrika Mashariki walikutana jijini Nairobi kwa ajili ya mafunzo yaliyolenga vipaumbele hivi.",,WHO Kenya,2026-04-30,Strengthening clinical care for high-consequence infectious diseases in East Africa
PSA000019,Health,"Organized by the East African Community, with funding from GIZ and support from Charité, Universitätsmedizin Berlin, the training brought together expertise from across all eight Member States to strengthen the competencies that influence patient outcomes.","Mafunzo hayo yaliyoandaliwa na Jumuiya ya Afrika Mashariki, kwa ufadhili kutoka GIZ na usaidizi kutoka Charité, Universitätsmedizin Berlin, yalileta pamoja utaalamu kutoka katika Nchi zote nane Wanachama ili kuimarisha uwezo unaoathiri matokeo ya wagonjwa.",,WHO Kenya,2026-04-30,Strengthening clinical care for high-consequence infectious diseases in East Africa
PSA000020,Health,"The programme focused on critical care, patient monitoring, safe use of personal protective equipment, and maintaining high-quality clinical operations under outbreak conditions.","Programu hiyo ililenga katika utunzaji muhimu, ufuatiliaji wa wagonjwa, matumizi salama ya vifaa vya kinga binafsi, na kudumisha shughuli za kliniki zenye ubora wa hali ya juu chini ya hali ya mlipuko.",,WHO Kenya,2026-04-30,Strengthening clinical care for high-consequence infectious diseases in East Africa
PSA000021,Health,"Designed as a training-of-trainers platform, it aims to build a cadre of experts who can cascade knowledge nationally, ensuring that capacity is not limited to individual facilities but embedded within health systems.","Imeundwa kama jukwaa la mafunzo ya wakufunzi, inalenga kujenga kundi la wataalamu ambao wanaweza kusambaza maarifa kitaifa, kuhakikisha kwamba uwezo hauzuiliwi tu kwa vituo vya kibinafsi bali pia ndani ya mifumo ya afya.",,WHO Kenya,2026-04-30,Strengthening clinical care for high-consequence infectious diseases in East Africa
PSA000022,Health,"World Health Organization supported this effort through technical guidance, coordination and the strengthening of regional networks, helping to ensure that clinical capacity continues to grow across countries and is sustained between outbreaks.","Shirika la Afya Duniani liliunga mkono juhudi hii kupitia mwongozo wa kiufundi, uratibu na uimarishaji wa mitandao ya kikanda, na kusaidia kuhakikisha kwamba uwezo wa kliniki unaendelea kukua katika nchi mbalimbali na unaendelea kudumu kati ya milipuko.",,WHO Kenya,2026-04-30,Strengthening clinical care for high-consequence infectious diseases in East Africa
PSA000023,Health,This approach reflects a broader shift toward institutionalizing expertise.,Mbinu hii inaonyesha mabadiliko mapana kuelekea kurasimisha utaalamu.,,WHO Kenya,2026-04-30,Strengthening clinical care for high-consequence infectious diseases in East Africa
PSA000024,Health,"Rather than rebuilding capacity during each emergency, countries are working to retain and expand it over time, supported by regional collaboration.","Badala ya kujenga upya uwezo wakati wa kila dharura, nchi zinafanya kazi ya kuuhifadhi na kuupanua baada ya muda, zikiungwa mkono na ushirikiano wa kikanda.",,WHO Kenya,2026-04-30,Strengthening clinical care for high-consequence infectious diseases in East Africa
PSA000025,Health,East Africa has demonstrated that it can detect outbreaks faster.,Afrika Mashariki imeonyesha kuwa inaweza kugundua milipuko haraka zaidi.,,WHO Kenya,2026-04-30,Strengthening clinical care for high-consequence infectious diseases in East Africa
PSA000026,Health,The next phase is to ensure that every patient benefits from the same standard of high-quality care.,Hatua inayofuata ni kuhakikisha kwamba kila mgonjwa anafaidika na kiwango sawa cha huduma bora.,,WHO Kenya,2026-04-30,Strengthening clinical care for high-consequence infectious diseases in East Africa
PSA000028,Health,"Nairobi—Kenya is strengthening its national cholera outbreak preparedness and response during the current long rainy season, expected to last until the end of May.","Nairobi—Kenya inaimarisha utayari wake wa kitaifa wa mlipuko wa kipindupindu na mwitikio wakati wa msimu wa mvua mrefu wa sasa, unaotarajiwa kudumu hadi mwisho wa Mei.",,WHO Kenya,2025-09-16,Kenya News
PSA000029,Health,"Four counties? Nairobi, Kisumu,Migori and Kwale? are experiencing a cholera outbreak, which was declared in late February 2025.","Kaunti nne - Nairobi, Kisumu, Migori na Kwale - zinakabiliwa na mlipuko wa kipindupindu, ambao ulitangazwa mwishoni mwa Februari 2025.",,WHO Kenya,2025-09-16,Kenya News
PSA000030,Health,"So far, 256 suspected cases and 13 deaths have been reported, with a case fatality rate of 5.2%, exceeding the 1% threshold which indicates early and adequate treatment of cholera patients.","Hadi sasa, visa 256 vinavyoshukiwa na vifo 13 vimeripotiwa, huku kiwango cha vifo kikiwa 5.2%, kikizidi kiwango cha 1% ambacho kinaonyesha matibabu ya mapema na ya kutosha kwa wagonjwa wa kipindupindu.",,WHO Kenya,2025-09-16,Kenya News
PSA000031,Health,"Press Statement: Kenyan Government, World Health Organization, Bloomberg Philanthropies launch new initiative to reduce road crash deaths Road traffic crashes are a top-five cause of death for Kenyans between the ages of five and 70, and the leading killer of boys aged 15-19.","Taarifa kwa Vyombo vya Habari: Serikali ya Kenya, Shirika la Afya Duniani, Bloomberg Philanthropies yazindua mpango mpya wa kupunguza vifo vya ajali za barabarani Ajali za barabarani ni miongoni mwa sababu tano kuu za vifo kwa Wakenya wenye umri wa kati ya miaka mitano na 70, na ni miongoni mwa wauaji wakuu wa wavulana wenye umri wa kati ya miaka 15-19.",,WHO Kenya,2022-08-01,Kenya News
PSA000060,Health,Kenya: Country health profile Kenya is a lower-middle-income country with an estimated population of over 54 million people.,Kenya: Wasifu wa afya ya nchi Kenya ni nchi yenye kipato cha chini cha kati yenye idadi ya watu inayokadiriwa kuwa zaidi ya milioni 54.,,WHO Kenya,Unknown,Kenya Health topics
PSA000061,Health,"The country operates a devolved health system across 47 counties, with the national government responsible for health policy and county governments managing service delivery.","Nchi inaendesha mfumo wa afya uliogatuliwa katika kaunti 47, huku serikali ya kitaifa ikiwa na jukumu la sera za afya na serikali za kaunti zikisimamia utoaji wa huduma.",,WHO Kenya,Unknown,Kenya Health topics
PSA000062,Health,"Kenya has made significant strides in improving health outcomes over the past two decades, though substantial challenges remain in achieving Universal Health Coverage (UHC) and addressing persistent health inequities between regions and populations.","Kenya imepiga hatua kubwa katika kuboresha matokeo ya kiafya katika miongo miwili iliyopita, ingawa changamoto kubwa bado zipo katika kufikia Ufikiaji wa Afya kwa Wote (UHC) na kushughulikia ukosefu wa usawa wa kiafya unaoendelea kati ya maeneo na idadi ya watu.",,WHO Kenya,Unknown,Kenya Health topics
PSA000063,Health,"WHO Kenya works through three strategic clusters; (1) Health Promotion, Disease Prevention and Control, (2) Health Emergencies, and (3) Health Systems and Services, to support the Government of Kenya in building resilient health systems and advancing toward UHC.","WHO Kenya inafanya kazi kupitia makundi matatu ya kimkakati; (1) Kukuza Afya, Kuzuia na Kudhibiti Magonjwa, (2) Dharura za Afya, na (3) Mifumo na Huduma za Afya, ili kuisaidia Serikali ya Kenya katika kujenga mifumo imara ya afya na kusonga mbele kuelekea UHC.",,WHO Kenya,Unknown,Kenya Health topics
PSA000064,Health,"The world is confronted with a global food crisis fueled by conflict, climate change and the pandemic of coronavirus disease.","Dunia inakabiliwa na mgogoro wa chakula duniani unaosababishwa na migogoro, mabadiliko ya tabianchi na janga la ugonjwa wa virusi vya corona.",,WHO Kenya,2023-05-31,Kenya News
PSA000065,Health,"A record 349 million people globally are facing acute food insecurity Meanwhile, tobacco is grown in over 124 countries, taking up 3.2 million hectares of fertile land that could be used to grow food, address food insecurity and nutrition challenges and help feed families.","Watu milioni 349 waliorekodiwa duniani kote wanakabiliwa na uhaba mkubwa wa chakula Wakati huo huo, tumbaku inalimwa katika zaidi ya nchi 124, ikichukua hekta milioni 3.2 za ardhi yenye rutuba ambayo inaweza kutumika kulima chakula, kushughulikia changamoto za uhaba wa chakula na lishe na kusaidia kulisha familia.",,WHO Kenya,2023-05-31,Kenya News
PSA000069,Health,"Samburu County, Kenya - In Lolmolong village, in Samburu County in northern Kenya, Neshoo Leaungokiok laboured through the night, far from the nearest health facility.","Kaunti ya Samburu, Kenya - Katika kijiji cha Lolmolong, katika Kaunti ya Samburu kaskazini mwa Kenya, Neshoo Leaungokiok alifanya kazi usiku kucha, mbali na kituo cha afya kilicho karibu.",,WHO Kenya,2026-06-09,Kenya News
PSA000070,Health,"With no transport available and a six-hour journey on foot to reach care, she had no choice but to give birth at home, assisted only by a traditional birth attendant.","Kwa kukosa usafiri na safari ya saa sita kwa miguu ili kufika kwenye huduma ya afya, hakuwa na chaguo ila kujifungulia nyumbani, akisaidiwa tu na mkunga wa jadi.",,WHO Kenya,2026-06-09,Kenya News
PSA000071,Health,"In this remote part of Kenya, long distances, difficult terrain and insecurity continue to limit access to skilled care during childbirth, placing mothers and newborns at significant risk.","Katika sehemu hii ya mbali ya Kenya, umbali mrefu, ardhi ngumu na ukosefu wa usalama vinaendelea kupunguza upatikanaji wa huduma za kitaalamu wakati wa kujifungua, na hivyo kuwaweka akina mama na watoto wachanga katika hatari kubwa.",,WHO Kenya,2026-06-09,Kenya News
PSA000072,Health,"Kenya launches 5-year health security plan to strengthen health emergency readiness Nairobi- Kenya has launched its Second National Action Plan for Health Security 2026–2030, marking a significant step toward strengthening the country's ability to prevent, detect, and respond to public health threats.","Kenya yazindua mpango wa usalama wa afya wa miaka 5 ili kuimarisha utayari wa dharura wa afya Nairobi- Kenya imezindua Mpango wake wa Pili wa Kitaifa wa Utekelezaji wa Usalama wa Afya 2026–2030, ikiashiria hatua muhimu kuelekea kuimarisha uwezo wa nchi kuzuia, kugundua, na kukabiliana na vitisho vya afya ya umma.",,WHO Kenya,2026-03-27,Kenya launches 5-year health security plan to strengthen health emergency readiness
PSA000073,Health,The plan outlines Kenya's priorities for health security over the next five years.,Mpango huo unaelezea vipaumbele vya Kenya kwa usalama wa afya katika kipindi cha miaka mitano ijayo.,,WHO Kenya,2026-03-27,Kenya launches 5-year health security plan to strengthen health emergency readiness
PSA000074,Health,"It is informed by findings from Kenya's Joint External Evaluation conducted in September 2024 and aligns with all 19 technical areas, spanning areas such as surveillance, antimicrobial resistance, health emergency management, risk communication and more.","Imechangiwa na matokeo kutoka kwa Tathmini ya Pamoja ya Nje ya Kenya iliyofanywa mnamo Septemba 2024 na inaendana na maeneo yote 19 ya kiufundi, ikijumuisha maeneo kama vile ufuatiliaji, upinzani wa vijidudu, usimamizi wa dharura za kiafya, mawasiliano ya hatari na mengineyo.",,WHO Kenya,2026-03-27,Kenya launches 5-year health security plan to strengthen health emergency readiness
PSA000075,Health,"Speaking at the launch, Cabinet Secretary for health Aden Duale stated that, ""A health system that cannot detect and respond to threats cannot guarantee coverage. And one that excludes people cannot sustain security.""","Akizungumza wakati wa uzinduzi huo, Waziri wa Afya Aden Duale alisema kwamba, ""Mfumo wa afya ambao hauwezi kugundua na kujibu vitisho hauwezi kuhakikisha ulinzi. Na mfumo unaowatenga watu hauwezi kudumisha usalama.""",,WHO Kenya,2026-03-27,Kenya launches 5-year health security plan to strengthen health emergency readiness
PSA000078,Health,"Sub-national health systems remain under-resourced, limiting their ability to contain outbreaks before they escalate nationally.","Mifumo ya afya ya nchi ndogo bado haina rasilimali za kutosha, na hivyo kupunguza uwezo wake wa kudhibiti milipuko kabla haijaenea kitaifa.",,WHO Kenya,2026-03-27,Kenya launches 5-year health security plan to strengthen health emergency readiness
PSA000079,Health,Emergency funds exist but are often slow to be released.,Fedha za dharura zipo lakini mara nyingi hutolewa polepole.,,WHO Kenya,2026-03-27,Kenya launches 5-year health security plan to strengthen health emergency readiness
PSA000080,Health,"Surveillance, laboratory and emergency response systems are also not well connected, delaying real-time decision-making.","Mifumo ya ufuatiliaji, maabara na majibu ya dharura pia haijaunganishwa vizuri, na hivyo kuchelewesha kufanya maamuzi kwa wakati halisi.",,WHO Kenya,2026-03-27,Kenya launches 5-year health security plan to strengthen health emergency readiness
PSA000082,Health,"In addition, five operational plans have also been developed and lauched to translate these strategies into action, strengthening surveillance, workforce coordination, digital integration, and One Health approaches across human, animal, and environmental health sectors.","Zaidi ya hayo, mipango mitano ya uendeshaji pia imetengenezwa na kutekelezwa ili kutafsiri mikakati hii kuwa vitendo, kuimarisha ufuatiliaji, uratibu wa wafanyakazi, ujumuishaji wa kidijitali, na mbinu za One Health katika sekta za afya ya binadamu, wanyama, na mazingira.",,WHO Kenya,2026-03-27,Kenya launches 5-year health security plan to strengthen health emergency readiness
PSA000083,Health,"""Today's event reflects Kenya's continued commitment to building a strong, resilient and coordinated system for preventing, detecting and responding to public health threats,"" said Dr Neema Rusibamayila Kimambo, Acting WHO representative to Kenya.","""Tukio la leo linaonyesha kujitolea kwa Kenya kuendelea kujenga mfumo imara, imara na ulioratibiwa kwa ajili ya kuzuia, kugundua na kukabiliana na vitisho vya afya ya umma,"" alisema Dkt. Neema Rusibamayila Kimambo, Kaimu mwakilishi wa WHO nchini Kenya.",,WHO Kenya,2026-03-27,Kenya launches 5-year health security plan to strengthen health emergency readiness
PSA000086,Health,Progress will be reviewed quarterly against set targets.,Maendeleo yatapitiwa kila robo mwaka kulingana na malengo yaliyowekwa.,,WHO Kenya,2026-03-27,Kenya launches 5-year health security plan to strengthen health emergency readiness
PSA000087,Health,"The Kenya Health Security Convention, scheduled for May 5–8, was also announced at the launch; it will bring together policymakers, scientists, and health workers to translate evidence into action.","Mkutano wa Usalama wa Afya wa Kenya, uliopangwa kufanyika Mei 5-8, pia ulitangazwa katika uzinduzi huo; utawaleta pamoja watunga sera, wanasayansi, na wafanyakazi wa afya ili kutafsiri ushahidi kuwa vitendo.",,WHO Kenya,2026-03-27,Kenya launches 5-year health security plan to strengthen health emergency readiness
PSA000088,Health,"The convention aims to advance Universal Health Coverage through a bottom-up, stakeholder-driven approach.",Mkataba huu unalenga kuendeleza Bima ya Afya kwa Wote kupitia mbinu inayoongozwa na wadau kuanzia chini hadi juu.,,WHO Kenya,2026-03-27,Kenya launches 5-year health security plan to strengthen health emergency readiness
PSA000089,Health,Narok County—Cholera remains a significant public health concern in Kenya.,Kaunti ya Narok—Kipindupindu kinasalia kuwa tatizo kubwa la afya ya umma nchini Kenya.,,WHO Kenya,2026-01-22,Kenya News
PSA000090,Health,"Since 1 October 2025, over 231 cases and 13 deaths were reported across three counties, including Narok, one of the hardest hit.","Tangu tarehe 1 Oktoba 2025, zaidi ya visa 231 na vifo 13 viliripotiwa katika kaunti tatu, ikiwa ni pamoja na Narok, mojawapo ya zilizoathiriwa zaidi.",,WHO Kenya,2026-01-22,Kenya News
PSA000092,Health,"Welcome to Nairobi - let's build together at World Health Summit Regional Meeting 2026 Nairobi - World Health Organization (WHO) is poised to be a significant presence at the upcoming World Health Summit (WHS) Regional Meeting 2026 in Nairobi, Kenya.","Karibu Nairobi - tujenge pamoja katika Mkutano wa Kikanda wa Mkutano wa Afya Duniani 2026 Nairobi - Shirika la Afya Duniani (WHO) liko tayari kuwa na uwepo muhimu katika Mkutano ujao wa Kikanda wa Mkutano wa Afya Duniani (WHS) 2026 jijini Nairobi, Kenya.",,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000093,Health,"For the first time at either a global or regional level, WHO is co-organizing a meeting with the World Health Summit.","Kwa mara ya kwanza katika ngazi ya kimataifa au kikanda, WHO inaandaa mkutano kwa pamoja na Mkutano wa Afya Duniani.",,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000094,Health,"This initiative has been spearheaded by WHO in the African region and is the result of an innovative partnership with WHS and Aga Khan University, Kenya.","Mpango huu umeongozwa na WHO katika eneo la Afrika na ni matokeo ya ushirikiano bunifu na WHS na Chuo Kikuu cha Aga Khan, Kenya.",,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000095,Health,"The regional meeting, taking place from 27?29 April 2026, will bring together global health leaders, policymakers, researchers and development partners to advance solutions for stronger and more resilient health systems.","Mkutano wa kikanda, unaofanyika kuanzia tarehe 27-29 Aprili 2026, utawakutanisha viongozi wa afya duniani, watunga sera, watafiti na washirika wa maendeleo ili kuendeleza suluhisho kwa mifumo ya afya yenye nguvu na thabiti zaidi.",,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000096,Health,"Hosted by WHS and Aga Khan University and held in partnership with WHO, the Ministry of Health in Kenya and the Africa Centres for Disease Control and Prevention, the meeting will bring together over 1000 delegates from around 50 countries, participating in 80 sessions focused on strengthening health systems resilience, advancing universal health coverage and accelerating innovation in global health.","Mkutano huo, ulioandaliwa na WHS na Chuo Kikuu cha Aga Khan na kufanyika kwa ushirikiano na WHO, Wizara ya Afya nchini Kenya na Vituo vya Afrika vya Kudhibiti na Kuzuia Magonjwa, utawaleta pamoja zaidi ya wajumbe 1000 kutoka nchi takriban 50, wakishiriki katika vikao 80 vinavyolenga kuimarisha ustahimilivu wa mifumo ya afya, kuendeleza huduma za afya kwa wote na kuharakisha uvumbuzi katika afya ya kimataifa.",,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000097,Health,"WHO has been actively engaged in the development of 80% of the meeting sessions, helping shape an agenda which focuses on strengthening health systems resilience, advancing universal health coverage and accelerating practical solutions to emerging health challenges.","WHO imekuwa ikishiriki kikamilifu katika uundaji wa 80% ya vikao vya mikutano, ikisaidia kuunda ajenda inayolenga kuimarisha ustahimilivu wa mifumo ya afya, kuendeleza huduma za afya kwa wote na kuharakisha suluhisho za vitendo kwa changamoto zinazoibuka za kiafya.",,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000098,Health,"""The World Health Summit Regional Meeting will focus on a theme that is important for the continent of Africa.","""Mkutano wa Kikanda wa Mkutano wa Afya Duniani utazingatia mada ambayo ni muhimu kwa bara la Afrika.""",,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000099,Health,"We will be looking at the rising burden of chronic disease, changing patterns of infectious diseases and the health financing landscape in Africa and beyond,"" says Professor Lukoye Atwoli, Dean of Medical College East Africa at The Aga Khan University, Kenya, and President of WHS Regional Meeting 2026.","Tutaangalia mzigo unaoongezeka wa magonjwa sugu, mabadiliko ya mifumo ya magonjwa ya kuambukiza na mazingira ya ufadhili wa afya barani Afrika na kwingineko,"" anasema Profesa Lukoye Atwoli, Mkuu wa Chuo cha Tiba cha Afrika Mashariki katika Chuo Kikuu cha Aga Khan, Kenya, na Rais wa Mkutano wa Kikanda wa WHS 2026.",,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000100,Health,"Dr Mohamed Janabi, WHO Regional Director for Africa, is a keynote speaker in six high-level sessions, including the opening ceremony which will be attended by His Excellency Williams Ruto, President of Kenya.","Dkt. Mohamed Janabi, Mkurugenzi wa Kanda ya WHO barani Afrika, ni mzungumzaji mkuu katika vikao sita vya ngazi ya juu, ikiwa ni pamoja na sherehe ya ufunguzi ambayo itahudhuriwa na Mheshimiwa Williams Ruto, Rais wa Kenya.",,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000101,Health,Dr Janabi will also be speaking at 4 sessions that are being led and organized by WHO in the African Region.,Dkt. Janabi pia atazungumza katika vikao 4 vinavyoongozwa na kuandaliwa na WHO katika Kanda ya Afrika.,,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000103,Health,"""The WHO Regional Office for Africa is honoured to co-convene this World Health Summit Regional Meeting.","""Ofisi ya Kanda ya WHO kwa Afrika inaheshimiwa kuitisha kwa pamoja Mkutano huu wa Kanda wa Mkutano wa Afya Duniani.""",,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000104,Health,Over these three days we will consolidate proof and deepen resolve.,Katika siku hizi tatu tutaimarisha uthibitisho na kuimarisha azimio.,,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000105,Health,"We will leave with regional commitments that are global in ambition,"" says Dr Janabi.","Tutaondoka na ahadi za kikanda ambazo ni za kimataifa,"" anasema Dkt. Janabi.",,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000106,Health,"Aside from Dr Janabi, Dr Hanan Balkhy, WHO Regional Director for the Eastern Mediterranean Region, and Dr Hans Kluge, WHO Regional Director for the European Region, will attend the summit and give keynote speeches in several sessions.","Mbali na Dkt. Janabi, Dkt. Hanan Balkhy, Mkurugenzi wa Kanda ya WHO kwa Kanda ya Mediterania Mashariki, na Dkt. Hans Kluge, Mkurugenzi wa Kanda ya WHO kwa Kanda ya Ulaya, watahudhuria mkutano huo na kutoa hotuba kuu katika vikao kadhaa.",,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000107,Health,Eleven WHO programme directors from around the globe will attend as speakers and seven WHO staff are panel chairs for sessions.,Wakurugenzi kumi na mmoja wa programu za WHO kutoka kote ulimwenguni watahudhuria kama wazungumzaji na wafanyakazi saba wa WHO ni wenyeviti wa jopo kwa ajili ya vikao.,,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000108,Health,WHO has a confirmed speaker in 22 of the 80 sessions.,WHO ina mzungumzaji aliyethibitishwa katika vikao 22 kati ya 80.,,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000109,Health,"In total, almost 90 WHO staff are participating in the regional meeting.","Kwa jumla, karibu wafanyakazi 90 wa WHO wanashiriki katika mkutano wa kikanda.",,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000110,Health,"This includes around 20 support staff who will provide administrative, logistics and communications support to WHO speakers, chairs and other delegates.","Hii inajumuisha takriban wafanyakazi 20 wa usaidizi ambao watatoa usaidizi wa kiutawala, vifaa na mawasiliano kwa wazungumzaji wa WHO, wenyeviti na wajumbe wengine.",,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
PSA000111,Health,"Staff are drawn from 4 country offices—Kenya, Ethiopia, Eritrea and Ghana—the three regional offices and WHO headquarters in Geneva.","Wafanyakazi wametoka katika ofisi 4 za nchi—Kenya, Ethiopia, Eritrea na Ghana—ofisi tatu za kikanda na makao makuu ya WHO huko Geneva.",,WHO Kenya,2026-04-24,Welcome to Nairobi - let’s build together at World Health Summit Regional Meeting 2026
