PSA_ID,Domain,English,Kiswahili,Dholuo,Final_Status
PSA000029,Health,"In the past year, WHO has supported 14 of the 47 counties in Kenya to develop a pool of facility-based mentors of emergency obstetric and newborn care, helping ensure that more women can access skilled care during pregnancy and childbirth, even in the most hard-to-reach areas.","Katika mwaka uliopita, WHO imesaidia kaunti 14 kati ya 47 nchini Kenya kuunda kundi la washauri wa dharura wa uzazi na watoto wachanga wanaopatikana katika vituo vya afya, na kusaidia kuhakikisha kwamba wanawake wengi zaidi wanaweza kupata huduma stadi wakati wa ujauzito na kujifungua, hata katika maeneo ambayo ni magumu kufikiwa.",,Keep
PSA000030,Health,"The handover builds on commitments made on 28 May 2026, when President William Ruto launched the EWENE Acceleration Plan 2026 to 2028 and the Maternal and Newborn Health Rapid Results Initiative at State House, Nairobi, pledging KES 7.5 billion towards maternal, newborn and reproductive health services.","Makabidhiano hayo yanatokana na ahadi zilizotolewa tarehe 28 Mei 2026, wakati Rais William Ruto alipozindua Mpango wa Kuongeza Kasi wa EWENE 2026 hadi 2028 na Mpango wa Matokeo ya Haraka ya Afya ya Mama na Mtoto Mchanga katika Ikulu ya Serikali, Nairobi, akiahidi shilingi bilioni 7.5 kwa huduma za afya ya uzazi, watoto wachanga na uzazi.",,Keep
PSA000031,Health,"""Behind every bed and every piece of equipment is a woman whose life may be saved, a newborn who will have a healthier start in life, and a family whose future will be protected,"" he said.","""Nyuma ya kila kitanda na kila kifaa kuna mwanamke ambaye maisha yake yanaweza kuokolewa, mtoto mchanga ambaye atakuwa na mwanzo mzuri wa maisha, na familia ambayo mustakabali wake utalindwa,"" alisema.",,Keep
PSA000032,Health,"He added that a resilient health system must support women across the life course, not only during pregnancy and childbirth, central to the government's commitment to Universal Health Coverage.","Aliongeza kuwa mfumo thabiti wa afya lazima uwasaidie wanawake katika maisha yao yote, si tu wakati wa ujauzito na kujifungua, jambo muhimu katika ahadi ya serikali ya Bima ya Afya kwa Wote.",,Keep
PSA000033,Health,"To support effective use, WHO and the Ministry of Health matched the equipment to facilities with capacity to deliver the relevant services and coordinated installation, training and mentorship support.","Ili kusaidia matumizi bora, WHO na Wizara ya Afya walilinganisha vifaa hivyo na vifaa vyenye uwezo wa kutoa huduma husika na kuratibu usakinishaji, mafunzo na usaidizi wa ushauri.",,Keep
PSA000034,Health,"Oluga called on beneficiary counties and facilities to ensure proper use, maintenance and accountability.","Oluga alitoa wito kwa kaunti na vifaa vinavyonufaika kuhakikisha matumizi, matengenezo na uwajibikaji unaofaa.",,Keep
PSA000035,Health,"""The true value of this equipment will be measured by the lives saved, the complications prevented, the women treated with dignity, the cancers detected early, and the health workers empowered to provide quality care,"" Kimambo said.","""Thamani halisi ya vifaa hivi itapimwa kwa maisha yaliyookolewa, matatizo yaliyozuiliwa, wanawake watakaotendewa kwa heshima, saratani zilizogunduliwa mapema, na wafanyakazi wa afya waliowezeshwa kutoa huduma bora,"" Kimambo alisema.",,Keep
PSA000036,Health,"Too many cancers that can be prevented, found early and treated are still catching women too late.","Saratani nyingi sana ambazo zinaweza kuzuiwa, kupatikana mapema na kutibiwa bado zinawapata wanawake kuchelewa sana.",,Keep
PSA000037,Health,"The collaboration will advance three pillars: generating evidence to inform WHO norms and national policy; building the skills of health workers, from specialists to community providers, to detect and manage these cancers earlier; and validating innovative tools, including AI-enabled breast ultrasound and AI-assisted cervical screening, for use in primary care.","Ushirikiano huo utaendeleza nguzo tatu: kutoa ushahidi ili kuelimisha kanuni za WHO na sera ya kitaifa; kujenga ujuzi wa wafanyakazi wa afya, kuanzia wataalamu hadi watoa huduma za jamii, ili kugundua na kudhibiti saratani hizi mapema; na kuthibitisha zana bunifu, ikiwa ni pamoja na uchunguzi wa matiti unaotumia akili bandia (AI) na uchunguzi wa shingo ya kizazi unaosaidiwa na akili bandia (AI), kwa ajili ya matumizi katika huduma ya msingi.",,Keep
PSA000038,Health,"""This Memorandum of Understanding reflects AKU's commitment to advancing awareness, re , innovation, and capacity building to improve access to equitable, quality cancer prevention and care.","""Muamala huu wa Maelewano unaonyesha kujitolea kwa AKU katika kukuza uelewa, utafiti, uvumbuzi, na kujenga uwezo ili kuboresha upatikanaji wa kinga na huduma bora za saratani zenye usawa na zenye ubora.""",,Keep
PSA000039,Health,"This partnership will help drive action to improve prevention, cancer diagnosis and care,"" said Professor Tania Bubela, Provost and Vice President Academic, Aga Khan University.","Ushirikiano huu utasaidia kuchochea hatua za kuboresha kinga, utambuzi wa saratani na utunzaji,"" alisema Profesa Tania Bubela, Msimamizi na Makamu wa Rais wa Taaluma, Chuo Kikuu cha Aga Khan.",,Keep
PSA000040,Health,"For the thousands of women in Kenya and across the region whose cancers can be prevented, found early and treated, this partnership is one step towards ensuring that a diagnosis is the start of a treatment journey, not the end of hope.","Kwa maelfu ya wanawake nchini Kenya na kote katika eneo hilo ambao saratani zinaweza kuzuiwa, kupatikana mapema na kutibiwa, ushirikiano huu ni hatua moja kuelekea kuhakikisha kwamba utambuzi ni mwanzo wa safari ya matibabu, si mwisho wa matumaini.",,Keep
PSA000041,Health,"Kenya Commemorates The 12th World No-Tobacco Day As Global Tobacco Survey Report Is Launched 31 May 2003 World No Tobacco Day 2003 whose theme is ""Tobacco Free Film.","Kenya Yaadhimisha Siku ya 12 ya Dunia ya Kupinga Tumbaku Huku Ripoti ya Utafiti wa Tumbaku Duniani Ikizinduliwa Mei 31, 2003 Siku ya Dunia ya Kupinga Tumbaku 2003 ambayo mada yake ni ""Filamu Isiyo na Tumbaku.""",,Keep
PSA000042,Health,"The hub has shipped 11 tonnes of health emergency supplies and equipment from Jomo Kenyatta International Airport directly to Bunia in the Democratic Republic of the Congo, where an outbreak of Ebola disease outbreak caused by Bundibugyo virus was declared on 15 May 2026.","Kituo hicho kimesafirisha tani 11 za vifaa na vifaa vya dharura vya afya kutoka Uwanja wa Ndege wa Kimataifa wa Jomo Kenyatta moja kwa moja hadi Bunia katika Jamhuri ya Kidemokrasia ya Kongo, ambapo mlipuko wa ugonjwa wa Ebola unaosababishwa na virusi vya Bundibugyo ulitangazwa tarehe 15 Mei 2026.",,Keep
PSA000043,Health,"""I need to ensure that the cargo leaving for the Democratic Republic of the Congo is well taken care of and loaded in a clear way so that it may not be damaged,"" says Oloo.","""Ninahitaji kuhakikisha kwamba mizigo inayoondoka kwenda Jamhuri ya Kidemokrasia ya Kongo inatunzwa vizuri na kupakiwa kwa njia iliyo wazi ili isiharibike,"" anasema Oloo.",,Keep
PSA000044,Health,"The consignment included personal protective equipment, case management kits and supplies to facilitate safe and dignified burials.","Shehena hiyo ilijumuisha vifaa vya kinga binafsi, vifaa vya usimamizi wa kesi na vifaa ili kuwezesha mazishi salama na ya heshima.",,Keep
PSA000045,Health,"These supplies save lives and protect health workers, family and community members.","Vifaa hivi huokoa maisha na kuwalinda wafanyakazi wa afya, familia na wanajamii.",,Keep
PSA000046,Health,"""The cargo should reach the Democratic Republic of the Congo safely in order to save lives of the people living there,"" he says.","""Mzigo unapaswa kufika Jamhuri ya Kidemokrasia ya Kongo salama ili kuokoa maisha ya watu wanaoishi huko,"" anasema.",,Keep
PSA000047,Health,"Seasonal long rains have caused widespread flooding across Kenya, resulting in loss of life, destruction of critical infrastructure, mass displacement, and significant disruption to health services.","Mvua ndefu za msimu zimesababisha mafuriko makubwa kote Kenya, na kusababisha vifo, uharibifu wa miundombinu muhimu, kuhama kwa watu wengi, na usumbufu mkubwa kwa huduma za afya.",,Keep
PSA000048,Health,"This particularly endangers vulnerable groups like children, seniors, and the chronically ill as displacement rapidly cuts off access to essential medications, vaccines, and routine medical care.","Hii inahatarisha hasa makundi yaliyo hatarini kama vile watoto, wazee, na wagonjwa sugu kwani kuhama makazi yao kunapunguza upatikanaji wa dawa muhimu, chanjo, na huduma za kawaida za matibabu.",,Keep
PSA000049,Health,"The Ministry of Health deployed eight field teams of 41 health professionals across 14 counties to strengthen coordination, surveillance, infection prevention, and WASH measures.","Wizara ya Afya ilituma timu nane za wataalamu wa afya 41 katika kaunti 14 ili kuimarisha uratibu, ufuatiliaji, kinga dhidi ya maambukizi, na hatua za WASH.",,Keep
PSA000050,Health,"When a burst in a draingage water source caused a sharp rise in diarrhoeal diseases, her team distributed water treatment tablets through community health promoters.","Wakati mlipuko katika chanzo cha maji ya mifereji ya maji ulisababisha ongezeko kubwa la magonjwa ya kuhara, timu yake ilisambaza vidonge vya kutibu maji kupitia wahamasishaji wa afya ya jamii.",,Keep
PSA000051,Health,"As immunization coverage dropped because families had lost child health booklets, the facility regenerated records and re-enrolled affected children into care.","Kadri chanjo ilivyopungua kwa sababu familia zilikuwa zimepoteza vijitabu vya afya ya watoto, kituo kilirejesha kumbukumbu na kuwaandikisha tena watoto walioathiriwa katika huduma ya uangalizi.",,Keep
PSA000052,Health,"Community health promoters proved essential throughout, serving as the most trusted link between the health system and displaced families, delivering supplies, information, and support to households that could not reach a facility.","Wahamasishaji wa afya ya jamii walithibitika kuwa muhimu sana, wakitumika kama kiungo kinachoaminika zaidi kati ya mfumo wa afya na familia zilizohamishwa, wakitoa vifaa, taarifa, na usaidizi kwa kaya ambazo hazikuweza kufikia kituo.",,Keep
PSA000053,Health,The facility now holds a three-month medicine buffer stock and a cold chain system keeping vaccines safe for 90 days without power.,Kituo hicho sasa kina akiba ya dawa ya miezi mitatu na mfumo wa mnyororo wa baridi unaoweka chanjo salama kwa siku 90 bila umeme.,,Keep
PSA000054,Health,"The Ministry of Health and WHO are working to ensure these lessons translate into stronger emergency plans, better-resourced facilities, and more resilient communities.","Wizara ya Afya na WHO zinafanya kazi kuhakikisha masomo haya yanatafsiriwa kuwa mipango imara ya dharura, vifaa vyenye rasilimali bora, na jamii zenye ustahimilivu zaidi.",,Keep
PSA000055,Health,"For Catherine and families like hers, that resilience is the difference between losing everything and being protected when the rains return.","Kwa Catherine na familia kama yake, ustahimilivu huo ndio tofauti kati ya kupoteza kila kitu na kulindwa mvua zinaporudi.",,Keep
PSA000056,Health,"Nairobi, 21 May 2020 – Over three million children across 13 counties of Kenya are to be vaccinated against polio by the Government, UNICEF, WHO and partners, after the virus was confirmed to be circulating in Garissa and Mombasa.","Nairobi, 21 Mei 2020 - Zaidi ya watoto milioni tatu katika kaunti 13 za Kenya watapewa chanjo dhidi ya polio na Serikali, UNICEF, WHO na washirika, baada ya virusi hivyo kuthibitishwa kuenea Garissa na Mombasa.",,Keep
PSA000057,Health,"Yet beneath the calm, there is a quiet sadness as he recalls the past.","Lakini chini ya utulivu, kuna huzuni tulivu anapokumbuka yaliyopita.",,Keep
PSA000058,Health,"""Long ago,"" he begins, ""our Samburu warriors left to protect our grazing lands from neighboring communities.","""Zamani sana,"" anaanza, ""mashujaa wetu wa Samburu waliondoka nyumbani ili kulinda ardhi zetu za malisho kutoka kwa jamii jirani.",,Keep
PSA000059,Health,"They were away for many months, guarding what belongs to us."" During their absence, women stayed behind in the manyattas, managing steads, raising children, and keeping families together.","Walikuwa mbali kwa miezi mingi, wakilinda mali yetu."" Wakati wa kutokuwepo kwao, wanawake walibaki nyuma katika manyatta, wakisimamia makazi, kulea watoto, na kuweka familia pamoja.",,Keep
PSA000060,Health,"""The community felt betrayed,"" Mzee Lekimain recalls, his voice tinted with sorrow.","""Jumuiya ilihisi kusalitiwa,"" Mzee Lekimain anakumbuka, sauti yake ikiwa na rangi ya huzuni.",,Keep
PSA000061,Health,"The elders declared that women must undergo circumcision, believing it would prevent such situations from happening again.","Wazee walitangaza kwamba wanawake lazima watahiriwe, wakiamini kwamba ingezuia hali kama hizo kutokea tena.",,Keep
PSA000062,Health,"Older women often enforced FGM, while men held near-total authority over households and community matters.","Wanawake wazee mara nyingi walilazimisha ukeketaji, huku wanaume wakiwa na mamlaka karibu yote juu ya masuala ya kaya na jamii.",,Keep
PSA000063,Health,"""People now understand that these practices increase disease risk and cause conflict,"" says elder Etemesi Lentoijoni.","""Watu sasa wanaelewa kwamba desturi hizi huongeza hatari ya magonjwa na kusababisha migogoro,"" anasema mzee Etemesi Lentoijoni.",,Keep
PSA000064,Health,"Alice Muthoni, a clinician and education advocate highlights the role of awareness campaigns in keeping girls in school.","Alice Muthoni, daktari na mtetezi wa elimu anaangazia jukumu la kampeni za uhamasishaji katika kuwaweka wasichana shuleni.",,Keep
PSA000065,Health,"""In 2025, two cases were reported but both girls went back and have since completed Grade Nine."" Community sensitization has reinforced a clear message: every child has a right to education.","""Mwaka 2025, visa viwili viliripotiwa lakini wasichana wote wawili walirudi na tangu wakati huo wamemaliza Darasa la Tisa."" Uhamasishaji wa jamii umeimarisha ujumbe ulio wazi: kila mtoto ana haki ya kupata elimu.",,Keep
PSA000066,Health,"Where injustices once went unreported, the Samburu community now has structured pathways for addressing gender-based violence, or as they call it, nkutorogonyo.","Ambapo hapo awali ukosefu wa haki haukuripotiwa, jamii ya Samburu sasa imeunda njia za kushughulikia unyanyasaji wa kijinsia, au kama wanavyouita, nkutorogonyo.",,Keep
PSA000067,Health,"""Women now reject kangaroo courts because they offer no justice,"" notes a local activist.","""Wanawake sasa wanakataa mahakama za kangaroo kwa sababu hazitoi haki,"" anasema mwanaharakati wa eneo hilo.",,Keep
PSA000068,Health,"""We demand proper legal processes that protect survivors rather than punish them further."" The Kenya Red Cross has held community sessions to educate residents on presenting their cases in court.","""Tunadai michakato sahihi ya kisheria inayowalinda manusura badala ya kuwaadhibu zaidi."" Shirika la Msalaba Mwekundu la Kenya limefanya vikao vya kijamii ili kuwaelimisha wakazi kuhusu kuwasilisha kesi zao mahakamani.",,Keep
PSA000069,Health,"""The Kenya Red Cross Society called for men's and women's engagement forums to speak openly about GBV,"" he explains.","""Chama cha Msalaba Mwekundu cha Kenya kimetoa wito kwa mabaraza ya ushiriki wa wanaume na wanawake kuzungumza waziwazi kuhusu GBV,"" anaelezea.",,Keep
PSA000070,Health,"""That openness has helped families confront issues they once ignored."" As harmful practices declined locally, some perpetrators tried to move girls to other areas to continue FGM in secret.","""Uwazi huo umesaidia familia kukabiliana na masuala ambayo hapo awali yalipuuzwa."" Kadri desturi zenye madhara zilivyopungua katika maeneo hayo, baadhi ya wahalifu walijaribu kuwahamisha wasichana hadi maeneo mengine ili kuendelea na ukeketaji kwa siri.",,Keep
PSA000071,Health,"They now identify and report suspicious movements involving girls, playing a vital role in prevention.","Sasa wanatambua na kuripoti mienendo inayotiliwa shaka inayowahusisha wasichana, na kuchukua jukumu muhimu katika kuzuia.",,Keep
PSA000072,Health,"The riders have also organized themselves into savings groups, improving livelihoods while strengthening community protection.","Waendeshaji pia wamejipanga katika vikundi vya kuweka akiba, wakiboresha riziki huku wakiimarisha ulinzi wa jamii.",,Keep
PSA000073,Health,"They refer cases to Baragoi Sub-County Hospital, which offers maternal and child health services, HIV/TB care, GBV support, and ensures legal documentation is complete for court proceedings.","Wanapeleka kesi katika Hospitali ya Kaunti Ndogo ya Baragoi, ambayo hutoa huduma za afya ya mama na mtoto, huduma ya VVU/TB, usaidizi wa GBV, na kuhakikisha nyaraka za kisheria zimekamilika kwa ajili ya kesi mahakamani.",,Keep
PSA000074,Health,"Morans now marry uncircumcised girls, consult wives on household decisions, and share chores and resources.","Wamorani sasa wanaoa wasichana wasiotahiriwa, wanashauriana na wake kuhusu maamuzi ya nyumbani, na wanashiriki kazi za nyumbani na rasilimali.",,Keep
PSA000075,Health,"Under-reporting of gender-based violence is still high, particularly in remote areas.","Ripoti chache za ukatili wa kijinsia bado ziko juu, hasa katika maeneo ya mbali.",,Keep
PSA000076,Health,"Stigma, cultural pressures, fear of retaliation, and illiteracy prevent survivors from seeking help.","Unyanyapaa, shinikizo la kitamaduni, hofu ya kulipiza kisasi, na kutojua kusoma na kuandika huwazuia manusura kutafuta msaada.",,Keep
PSA000077,Health,"""SGBV cases are often silent because survivors fear speaking out,"" explains Esther, a clinician at Baragoi Sub-County Hospital.","""Visa vya SGBV mara nyingi huwa kimya kwa sababu manusura huogopa kusema,"" anaelezea Esther, daktari katika Hospitali ya Kaunti Ndogo ya Baragoi.",,Keep
PSA000078,Health,"Survivor groups report improved family relationships, shared decision-making on livestock and household matters, and better communication between spouses.","Vikundi vya walionusurika vinaripoti kuimarika kwa mahusiano ya kifamilia, kufanya maamuzi ya pamoja kuhusu mifugo na masuala ya kaya, na mawasiliano bora kati ya wanandoa.",,Keep
PSA000079,Health,"At the barazas, elders recall the historic Samburu Declaration made in early 2021, witnessed by former President Uhuru Kenyatta.","Katika mabaraza hayo, wazee wanakumbuka Azimio la kihistoria la Samburu lililotolewa mapema 2021, lililoshuhudiwa na aliyekuwa Rais Uhuru Kenyatta.",,Keep
